ip_address,total_activities,first_seen_date,first_seen_time,last_seen_date,last_seen_time,activity_span_days,city,region,country,timezone,zip_code,latitude,longitude,isp,org,as_number,as_name,activities_per_day,player_type,lookup_success,first_seen_timestamp,last_seen_timestamp,Player Name
104.49.219.91,10257,2025-09-14,21:41:27,2025-09-19,19:10:37,5,Rocklin,California,United States,America/Los_Angeles,95765,38.8131,-121.2653,"AT&T Enterprises, LLC",AT&T Corp,AS7018,"AT&T Enterprises, LLC",2051.4,Heavy Player,Yes,2025-09-14T21:41:27.056609+00:00,2025-09-19T19:10:37.644260+00:00,
66.109.156.97,3478,2025-09-15,22:13:35,2025-09-19,3:01:33,4,Missoula,Montana,United States,America/Denver,59808,46.8833,-114.02,"Blackfoot Telephone Cooperative, Inc.","Blackfoot Telephone Cooperative, Inc.",AS21947,"Blackfoot Telephone Cooperative, Inc.",869.5,Heavy Player,Yes,2025-09-15T22:13:35.878239+00:00,2025-09-19T03:01:33.062032+00:00,
2600:6c67:617f:518b:6935:afd6:ced4:7922,2465,2025-09-14,21:45:46,2025-09-14,23:51:43,1,Helena,Montana,United States,America/Denver,59601,46.6099,-112.0244,Charter Communications,Spectrum,AS33588,Charter Communications LLC,2465,Heavy Player,Yes,2025-09-14T21:45:46.096576+00:00,2025-09-14T23:51:43.528818+00:00,
2600:6c67:617f:518b:5e19:5770:eb0c:712d,2030,2025-09-15,10:48:58,2025-09-15,12:18:54,1,Helena,Montana,United States,America/Denver,59601,46.6099,-112.0244,Charter Communications,Spectrum,AS33588,Charter Communications LLC,2030,Heavy Player,Yes,2025-09-15T10:48:58.203143+00:00,2025-09-15T12:18:54.042284+00:00,
2600:6c67:617f:518b:1cd8:c8db:fe2a:8613,1709,2025-09-15,20:01:40,2025-09-16,11:16:36,1,Helena,Montana,United States,America/Denver,59601,46.6099,-112.0244,Charter Communications,Spectrum,AS33588,Charter Communications LLC,1709,Heavy Player,Yes,2025-09-15T20:01:40.792456+00:00,2025-09-16T11:16:36.439761+00:00,
2607:fb91:1513:9381:b139:d2e:99c9:5fc9,845,2025-09-15,16:11:17,2025-09-15,18:05:39,1,Seattle,Washington,United States,America/Los_Angeles,98108,47.54,-122.3032,"T-Mobile USA, Inc.",T-Mobile USA,AS21928,"T-Mobile USA, Inc.",845,Regular Player,Yes,2025-09-15T16:11:17.413319+00:00,2025-09-15T18:05:39.411242+00:00,
2600:6c67:617f:518b:f9ec:8575:2365:dafb,597,2025-09-14,19:51:45,2025-09-14,20:08:42,1,Helena,Montana,United States,America/Denver,59601,46.6099,-112.0244,Charter Communications,Spectrum,AS33588,Charter Communications LLC,597,Regular Player,Yes,2025-09-14T19:51:45.212126+00:00,2025-09-14T20:08:42.165473+00:00,
2601:600:9300:4bd0:cdae:feb0:b57:e864,547,2025-09-14,20:50:33,2025-09-14,23:34:10,1,Bellevue,Washington,United States,America/Los_Angeles,98005,47.615,-122.1619,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC",AS7922,"Comcast Cable Communications, LLC",547,Regular Player,Yes,2025-09-14T20:50:33.431199+00:00,2025-09-14T23:34:10.968788+00:00,
2600:6c67:617f:518b:954c:6330:7c0:eea1,543,2025-09-16,17:06:04,2025-09-16,22:03:22,1,Helena,Montana,United States,America/Denver,59601,46.6099,-112.0244,Charter Communications,Spectrum,AS33588,Charter Communications LLC,543,Regular Player,Yes,2025-09-16T17:06:04.703619+00:00,2025-09-16T22:03:22.344035+00:00,
2607:fb90:ec89:82b:44a5:6ffc:ebe6:2a06,327,2025-09-15,0:13:19,2025-09-15,0:18:42,1,Seattle,Washington,United States,America/Los_Angeles,98160,47.6109,-122.3303,"T-Mobile USA, Inc.",T-Mobile USA,AS21928,"T-Mobile USA, Inc.",327,Regular Player,Yes,2025-09-15T00:13:19.963984+00:00,2025-09-15T00:18:42.750721+00:00,
2600:100e:b228:9d59:db81:5f95:3f74:b402,324,2025-09-14,20:04:45,2025-09-14,21:20:00,1,Denver,Colorado,United States,America/Denver,80220,39.7301,-104.9078,Verizon Business,Verizon Business,AS6167,Verizon Business,324,Regular Player,Yes,2025-09-14T20:04:45.486521+00:00,2025-09-14T21:20:00.205668+00:00,
99.196.128.87,324,2025-09-18,17:39:31,2025-09-18,17:51:25,1,Jasper,Florida,United States,America/New_York,32052,30.5183,-82.9482,"ViaSat, Inc.","ViaSat, Inc.",AS40306,"ViaSat,Inc.",324,Regular Player,Yes,2025-09-18T17:39:31.357931+00:00,2025-09-18T17:51:25.242311+00:00,
2600:100e:b217:f805:4e6d:4956:6e27:565e,269,2025-09-15,13:20:23,2025-09-15,13:26:19,1,Denver,Colorado,United States,America/Denver,80229,39.8661,-104.9197,Verizon Business,Verizon Business,AS6167,Verizon Business,269,Regular Player,Yes,2025-09-15T13:20:23.455780+00:00,2025-09-15T13:26:19.317346+00:00,
2607:fb91:79ae:d1ce:6536:e7dd:86a6:adbb,246,2025-09-16,3:04:08,2025-09-16,3:09:36,1,Florin,California,United States,America/Los_Angeles,95828,38.496,-121.409,"T-Mobile USA, Inc.",T-Mobile USA,AS21928,"T-Mobile USA, Inc.",246,Regular Player,Yes,2025-09-16T03:04:08.252294+00:00,2025-09-16T03:09:36.340385+00:00,
2601:600:9300:4bd0:3d3f:839f:a7d4:7f6c,191,2025-09-15,13:49:31,2025-09-15,13:53:07,1,Bellevue,Washington,United States,America/Los_Angeles,98005,47.615,-122.1619,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC",AS7922,"Comcast Cable Communications, LLC",191,Regular Player,Yes,2025-09-15T13:49:31.266481+00:00,2025-09-15T13:53:07.098168+00:00,
2607:fb91:16d7:8c8e:3855:8d2d:1b65:826,155,2025-09-16,0:58:41,2025-09-16,1:17:29,1,Dayton,Ohio,United States,America/New_York,45420,39.7142,-84.1309,"T-Mobile USA, Inc.",T-Mobile USA,AS21928,"T-Mobile USA, Inc.",155,Regular Player,Yes,2025-09-16T00:58:41.516795+00:00,2025-09-16T01:17:29.210979+00:00,
2607:fb91:79ae:d1ce:6083:8022:a2c:963e,151,2025-09-18,16:31:09,2025-09-18,23:40:30,1,Florin,California,United States,America/Los_Angeles,95828,38.496,-121.409,"T-Mobile USA, Inc.",T-Mobile USA,AS21928,"T-Mobile USA, Inc.",151,Regular Player,Yes,2025-09-18T16:31:09.100070+00:00,2025-09-18T23:40:30.348431+00:00,
2601:600:9300:4bd0:993:3734:9779:2f85,144,2025-09-14,19:41:48,2025-09-14,21:54:23,1,Bellevue,Washington,United States,America/Los_Angeles,98005,47.615,-122.1619,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC",AS7922,"Comcast Cable Communications, LLC",144,Regular Player,Yes,2025-09-14T19:41:48.742828+00:00,2025-09-14T21:54:23.746433+00:00,
2607:fb91:2613:a46:b07d:f90:cb90:5717,129,2025-09-16,10:35:07,2025-09-16,10:49:17,1,Lynn,Massachusetts,United States,America/New_York,1910,42.4668,-70.9495,"T-Mobile USA, Inc.","T-Mobile USA, Inc.",AS21928,"T-Mobile USA, Inc.",129,Regular Player,Yes,2025-09-16T10:35:07.356300+00:00,2025-09-16T10:49:17.689059+00:00,
99.196.128.142,122,2025-09-15,20:31:24,2025-09-15,20:35:30,1,Diboll,Texas,United States,America/Chicago,75941,31.1871,-94.781,"ViaSat, Inc.","ViaSat, Inc.",AS40306,"ViaSat,Inc.",122,Regular Player,Yes,2025-09-15T20:31:24.637169+00:00,2025-09-15T20:35:30.242729+00:00,
